newid,ln_spending,ln_income,weights
03698304,10,11,8277
03698314,11,12,10087
03698324,13,10,9630
03698334,11,11,7725
03698344,11,10,11781
03698354,11,11,9067
03698364,9,4,14166
03698374,9,10,10857
03698384,12,11,6785
03698394,9,11,10101
03698404,10,12,13168
03698424,12,11,11592
03698454,9,10,8719
03698484,11,11,7776
03698504,9,11,13844
03698534,8,9,10457
03698544,8,9,12429
03698574,12,11,12890
03698594,10,11,8516
03698624,11,10,8903
03698634,11,11,10530
03698654,10,10,4666
03698684,11,10,11881
03698714,12,12,10659
03698734,10,12,8869
03698744,11,10,14194
03698764,11,11,9822
03698804,12,10,11905
03698844,9,10,9463
03698854,9,11,9827
03698874,11,10,10265
03698884,10,11,8258
03698894,11,11,12792
03698904,9,11,17345
03698924,11,11,1677
03698934,11,10,7327
03698944,11,10,12297
03698964,12,11,11007
03698974,11,12,8660
03698984,9,11,15206
03698994,6,10,7866
03699004,10,11,8823
03699034,13,12,16776
03699044,10,10,13268
03699054,10,10,11297
03699064,12,12,1633
03699074,12,11,10938
03699114,12,11,13449
03699144,12,11,11006
03699184,12,10,14083
03699234,11,10,8602
03699244,11,11,11049
03699254,12,12,9246
03699304,9,8,9620
03699314,11,12,9166
03699324,10,10,9253
03699334,9,11,16929
03699354,9,10,9017
03699374,11,11,10476
03699384,8,10,8647
03699514,12,12,11055
03699524,12,10,7535
03699534,11,11,9851
03699544,11,10,10220
03699574,11,10,10832
03699584,11,10,11414
03699624,11,11,9618
03699654,10,11,14802
03699674,11,11,12605
03699684,12,12,1492
03699704,12,12,19018
03699714,9,9,9173
03699724,10,10,9620
03699744,9,10,10778
03699754,11,11,11244
03699764,9,10,10745
03699774,8,10,10070
03699794,9,10,9276
03699814,9,11,14911
03699824,11,12,7255
03699844,10,10,9184
03699864,12,11,7038
03699904,10,11,11572
03699914,12,12,12543
